ID,Name,AGE(Months),Grade,RegistrationDate,ParentName,Address,phone,parentEmail
1,Glenna Chen,19,3,6/15/2023,Benedict Shaffer,161-5234 Aliquam Avenue,1571582466,eu.dui.cum@hotmail.com
2,Ryan Keith,49,4,9/2/2023,Sean Terrell,433-8132 Ut Ave,8587231732,duis@protonmail.org
3,Reese Atkins,39,3,9/11/2023,Jessamine Cooley,518-6368 Suspendisse Av.,9512345435,vitae@protonmail.net
4,Selma Huff,38,4,11/11/2023,Wesley Higgins,Ap #560-7348 Facilisis Rd.,4934597378,quis@hotmail.com
5,Devin Hyde,45,4,8/16/2023,Joel Russell,275-4007 Elit. Avenue,3984843745,phasellus.at@icloud.couk
6,Marina Walsh,52,5,7/10/2023,Cassandra Black,452-6238 Neque. Street,5748291742,nonummy@outlook.com
7,Alexander Bird,20,3,5/22/2023,Griffin Porter,P.O. Box 567, 9564 Et Rd.,6245738842,aliquam@protonmail.net
8,Lila Snyder,34,4,10/5/2023,Bridget Cameron,Ap #821-3954 Amet St.,8745392153,amet.metus@hotmail.com
9,Theodore Briggs,47,5,4/30/2023,Morgan Knox,405-6742 Justo Ave,5938472837,libero@icloud.com
10,Sophia Montgomery,30,3,3/15/2023,Harper Blair,950-8426 Non Rd.,7463728492,euismod.in@outlook.org
